player_id,season,appearances,minutes_played,goals,assists,yellow_cards,red_cards,name,date_of_birth,sub_position,position,foot,height_in_cm,age_at_season_end,market_value_eur
74960,2022,2,156,0,0,0,0,Martin Dúbravka,1989-01-15,Goalkeeper,Goalkeeper,right,191.0,34.45311430527036,1500000.0
75067,2022,18,1427,1,0,5,0,Liam Cooper,1991-08-30,Centre-Back,Defender,left,186.0,31.83299110198494,3000000.0
75458,2022,4,280,0,0,0,0,Robin Olsen,1990-01-08,Goalkeeper,Goalkeeper,right,196.0,33.47296372347707,1500000.0
77100,2022,15,145,1,0,0,1,Lucas Moura,1992-08-13,Right Winger,Attack,right,172.0,30.87748117727584,6000000.0
79422,2022,17,1530,0,0,2,0,Keylor Navas,1986-12-15,Goalkeeper,Goalkeeper,right,185.0,36.539356605065024,4000000.0
80197,2022,7,104,0,0,0,0,Salomón Rondón,1989-09-16,Centre-Forward,Attack,right,186.0,33.78507871321013,2000000.0
80444,2022,20,781,1,0,3,0,Philippe Coutinho,1992-06-12,Attacking Midfield,Midfield,right,172.0,31.04722792607803,10000000.0
82105,2022,14,1093,1,0,3,0,Joel Matip,1991-08-08,Centre-Back,Defender,right,195.0,31.89322381930185,12000000.0
82873,2022,37,3246,9,8,6,0,Pascal Groß,1991-06-15,Central Midfield,Midfield,right,181.0,32.04106776180698,8000000.0
85177,2022,22,1643,0,0,3,0,Nathaniel Clyne,1991-04-05,Right-Back,Defender,right,175.0,32.23545516769336,2000000.0
85941,2022,3,270,0,0,0,0,Stefan Ortega,1992-11-06,Goalkeeper,Goalkeeper,right,185.0,30.64476386036961,9000000.0
87672,2022,4,58,0,0,0,0,Junior Stanislas,1989-11-26,Left Winger,Attack,right,183.0,33.59069130732375,500000.0
88755,2022,32,2425,7,18,1,0,Kevin De Bruyne,1991-06-28,Attacking Midfield,Midfield,right,181.0,32.00547570157426,70000000.0
90836,2022,12,959,0,0,4,0,Steve Cook,1991-04-19,Centre-Back,Defender,right,185.0,32.19712525667351,1800000.0
91845,2022,36,2899,10,6,2,0,Heung-min Son,1992-07-08,Left Winger,Attack,both,183.0,30.976043805612594,50000000.0
92469,2022,7,35,0,0,0,0,Matt Ritchie,1989-09-10,Right Midfield,Midfield,left,173.0,33.80150581793292,1000000.0
92571,2022,28,2237,0,1,2,0,Aaron Cresswell,1989-12-15,Left-Back,Defender,left,170.0,33.53867214236824,1200000.0
92572,2022,28,2255,1,0,6,0,Joel Ward,1989-10-29,Right-Back,Defender,right,186.0,33.667351129363446,1200000.0
92738,2022,14,266,0,0,2,0,Mateusz Klich,1990-06-13,Defensive Midfield,Midfield,right,183.0,33.045859000684466,2000000.0
93128,2022,23,1800,2,1,7,0,Kalidou Koulibaly,1991-06-20,Centre-Back,Defender,right,186.0,32.02737850787132,15000000.0
95424,2022,27,1956,0,0,3,0,Kyle Walker,1990-05-28,Right-Back,Defender,right,183.0,33.08966461327858,13000000.0
95810,2022,38,3348,1,7,5,0,Kieran Trippier,1990-09-19,Right-Back,Defender,right,173.0,32.77754962354552,11000000.0
95976,2022,6,540,0,0,0,0,Alex McCarthy,1989-12-03,Goalkeeper,Goalkeeper,right,193.0,33.57152635181382,1200000.0
101118,2022,4,360,0,0,1,0,Joel Robles,1990-06-17,Goalkeeper,Goalkeeper,right,194.0,33.034907597535934,1000000.0
102017,2022,32,2134,2,1,4,0,Jorginho,1991-12-20,Defensive Midfield,Midfield,right,180.0,31.526351813826146,25000000.0
104124,2022,33,1838,5,3,2,0,Michail Antonio,1990-03-28,Centre-Forward,Attack,right,180.0,33.256673511293634,7000000.0
105470,2022,37,3330,0,1,1,0,Alisson,1992-10-02,Goalkeeper,Goalkeeper,right,193.0,30.740588637919235,35000000.0
106987,2022,11,627,0,1,1,0,Marcel Sabitzer,1994-03-17,Central Midfield,Midfield,right,178.0,29.286789869952088,20000000.0
108354,2022,38,2722,4,3,5,0,Jordan Ayew,1991-09-11,Centre-Forward,Attack,right,182.0,31.800136892539356,5000000.0
